1.32754e-03 1.94253e-03 2.64822e-03 4.61300e-04
3.09280e-03 4.37476e-03 -4.50959e-03 4.61200e-04
1.41386e-03 3.17811e-03 1.11106e-03 4.61100e-04
-3.00621e-03 5.57088e-03 3.58257e-03 4.61000e-04
-4.37838e-03 4.53815e-03 4.20722e-03 4.60900e-04
4.50231e-03 9.81731e-04 -4.49818e-03 4.60800e-04
-1.99278e-03 6.19153e-04 1.75988e-03 4.60700e-04
3.33277e-03 5.65459e-03 1.20832e-03 4.60600e-04
1.26015e-03 5.55274e-04 4.88192e-05 4.60500e-04
1.32370e-03 5.27498e-04 4.21050e-03 4.60400e-04
-2.01145e-03 2.32260e-03 -3.48536e-03 4.60300e-04
-2.54240e-03 3.81388e-03 -2.80049e-03 4.60200e-04
2.14597e-03 6.21726e-03 -3.23689e-03 4.60100e-04
-3.25290e-03 6.23160e-03 -1.15900e-03 4.60000e-04
2.86717e-03 4.54651e-03 -1.01901e-03 4.59900e-04
-2.25451e-03 5.04710e-03 -4.23435e-03 4.59800e-04
2.93224e-03 7.19748e-03 -1.96670e-04 4.59700e-04
3.37511e-03 5.34395e-03 2.34167e-03 4.59600e-04
-4.45333e-03 4.42413e-03 -3.35486e-04 4.59500e-04
-3.26624e-03 7.57380e-04 5.00832e-04 4.59400e-04
-7.01057e-04 5.28816e-03 -3.99092e-03 4.59300e-04
4.47456e-03 2.49200e-03 -2.96590e-03 4.59200e-04
2.66840e-03 7.27498e-03 2.59424e-03 4.59100e-04
-2.03019e-03 2.17642e-03 3.62321e-03 4.59000e-04
-1.28939e-03 2.98719e-03 1.91767e-03 4.58900e-04
-1.86340e-03 6.00622e-03 -2.43697e-03 4.58800e-04
-1.17669e-03 2.69991e-03 -3.97068e-03 4.58700e-04
4.52131e-03 4.00853e-03 -4.21905e-03 4.58600e-04
-3.20532e-03 2.28352e-03 3.46209e-03 4.58500e-04
-3.53409e-04 1.67053e-03 7.18000e-04 4.58400e-04
-3.21837e-03 3.52110e-03 -9.81478e-04 4.58300e-04
-2.14435e-03 7.17164e-03 -3.20621e-03 4.58200e-04
2.85898e-03 5.07807e-04 1.22456e-05 4.58100e-04
-1.74195e-03 5.10936e-04 -2.90252e-03 4.58000e-04
3.14654e-03 2.73803e-03 1.91476e-03 4.57900e-04
